timestamp,message
1748506607119,"INIT_START Runtime Version: python:3.9.v91	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:c4127de9acf600313fc596a22245bc413de98744c008a2b8a38abb334f663c06
"
1748506607458,"START RequestId: 06471b05-d61e-4897-9ce3-22394c4fa1b7 Version: $LATEST
"
1748506607458,"event ... {'version': '0', 'id': 'c9e917fe-8ab1-dfe8-b326-78680ced2d54', 'detail-type': 'ECS Service Action', 'source': 'aws.ecs', 'account': '314977818259', 'time': '2025-05-29T08:16:45Z', 'region': 'us-east-1', 'resources': ['arn:aws:ecs:us-east-1:314977818259:service/microservices-serverlesscluster/employee-microservice'], 'detail': {'eventType': 'INFO', 'eventName': 'SERVICE_STEADY_STATE', 'clusterArn': 'arn:aws:ecs:us-east-1:314977818259:cluster/microservices-serverlesscluster', 'createdAt': '2025-05-29T08:16:45.576Z'}}
"
1748506607810,"END RequestId: 06471b05-d61e-4897-9ce3-22394c4fa1b7
"
1748506607810,"REPORT RequestId: 06471b05-d61e-4897-9ce3-22394c4fa1b7	Duration: 352.53 ms	Billed Duration: 353 ms	Memory Size: 128 MB	Max Memory Used: 78 MB	Init Duration: 337.97 ms	
"
1748506650916,"START RequestId: 0fa7a912-dc20-44b3-8e66-fc8b78cd84c5 Version: $LATEST
"
1748506650916,"event ... {'version': '0', 'id': '19ee119d-24a4-d815-69d4-9b5dbbc1472b', 'detail-type': 'ECS Service Action', 'source': 'aws.ecs', 'account': '314977818259', 'time': '2025-05-29T08:17:29Z', 'region': 'us-east-1', 'resources': ['arn:aws:ecs:us-east-1:314977818259:service/microservices-serverlesscluster/customer-microservice'], 'detail': {'eventType': 'INFO', 'eventName': 'SERVICE_STEADY_STATE', 'clusterArn': 'arn:aws:ecs:us-east-1:314977818259:cluster/microservices-serverlesscluster', 'createdAt': '2025-05-29T08:17:29.643Z'}}
"
1748506651193,"Deleting the tasks at ECS cluster : {'clusterArn': 'arn:aws:ecs:us-east-1:314977818259:cluster/microservices-serverlesscluster', 'clusterName': 'microservices-serverlesscluster', 'status': 'ACTIVE', 'registeredContainerInstancesCount': 0, 'runningTasksCount': 7, 'pendingTasksCount': 0, 'activeServicesCount': 2, 'statistics': [], 'tags': [], 'settings': [], 'capacityProviders': [], 'defaultCapacityProviderStrategy': []}
"
1748506651610,"Completed stopping all the running ECS tasks at the cluster
"
1748506651629,"END RequestId: 0fa7a912-dc20-44b3-8e66-fc8b78cd84c5
"
1748506651629,"REPORT RequestId: 0fa7a912-dc20-44b3-8e66-fc8b78cd84c5	Duration: 713.81 ms	Billed Duration: 714 ms	Memory Size: 128 MB	Max Memory Used: 79 MB	
"
1748506683679,"START RequestId: ca469690-8d87-43a5-b6a1-6d252ee63070 Version: $LATEST
"
1748506683680,"event ... {'version': '0', 'id': 'f6e001f9-e641-7002-8988-986aa25e34b6', 'detail-type': 'ECS Service Action', 'source': 'aws.ecs', 'account': '314977818259', 'time': '2025-05-29T08:18:02Z', 'region': 'us-east-1', 'resources': ['arn:aws:ecs:us-east-1:314977818259:service/microservices-serverlesscluster/employee-microservice'], 'detail': {'eventType': 'INFO', 'eventName': 'SERVICE_STEADY_STATE', 'clusterArn': 'arn:aws:ecs:us-east-1:314977818259:cluster/microservices-serverlesscluster', 'createdAt': '2025-05-29T08:18:02.884Z'}}
"
1748506683911,"END RequestId: ca469690-8d87-43a5-b6a1-6d252ee63070
"
1748506683911,"REPORT RequestId: ca469690-8d87-43a5-b6a1-6d252ee63070	Duration: 231.79 ms	Billed Duration: 232 ms	Memory Size: 128 MB	Max Memory Used: 79 MB	
"
